summary_group,item_name,hf_name,hf_type,fy,num,den,avg_score,section,index
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Busoro CS,Health Center,2020-2021,30.0,30.0,100.0,diagnosis,16
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Busoro CS,Health Center,2021-2022,30.0,30.0,100.0,diagnosis,17
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Butare Chu Hnr (huye),Health Center,2020-2021,30.0,30.0,100.0,diagnosis,18
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Byahi (rubavu) CS,Health Center,2022-2023,0.0,30.0,0.0,diagnosis,19
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Byimana CS,Health Center,2021-2022,30.0,30.0,100.0,diagnosis,20
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Byumba CS,Health Center,2020-2021,30.0,30.0,100.0,diagnosis,21
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Byumba DH,"Hospital (DH,PH,RH)",2020-2021,30.0,30.0,100.0,diagnosis,22
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Camp Gihembe CS,Health Center,2020-2021,30.0,30.0,100.0,diagnosis,23
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Cyabayaga CS,Health Center,2020-2021,0.0,30.0,0.0,diagnosis,24
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Cyabayaga CS,Health Center,2021-2022,0.0,30.0,0.0,diagnosis,25
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Cyanika (nyamagabe) CS,Health Center,2021-2022,10.0,30.0,33.33333333333333,diagnosis,26
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Cyondo CS,Health Center,2021-2022,0.0,30.0,0.0,diagnosis,27
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",GAHINI DH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,28
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",GATONDE DH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,29
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",GATUNDA DH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,30
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",GIHUNDWE PH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,31
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",GISENYI DH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,32
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gahini CS,Health Center,2020-2021,30.0,30.0,100.0,diagnosis,33
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gahini CS,Health Center,2021-2022,30.0,30.0,100.0,diagnosis,34
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gahini DH,"Hospital (DH,PH,RH)",2020-2021,30.0,30.0,100.0,diagnosis,35
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gahini DH,"Hospital (DH,PH,RH)",2021-2022,30.0,30.0,100.0,diagnosis,36
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gahombo CS,Health Center,2020-2021,0.0,30.0,0.0,diagnosis,37
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gahombo CS,Health Center,2021-2022,30.0,30.0,100.0,diagnosis,38
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gakoma CS,Health Center,2020-2021,30.0,30.0,100.0,diagnosis,39
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gakoma CS,Health Center,2021-2022,30.0,30.0,100.0,diagnosis,40
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gakoma DH,"Hospital (DH,PH,RH)",2020-2021,30.0,30.0,100.0,diagnosis,41
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gakoma DH,"Hospital (DH,PH,RH)",2021-2022,30.0,30.0,100.0,diagnosis,42
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gashora CS,Health Center,2020-2021,30.0,30.0,100.0,diagnosis,43
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gashora CS,Health Center,2021-2022,30.0,30.0,100.0,diagnosis,44
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gatonde CS,Health Center,2020-2021,0.0,30.0,0.0,diagnosis,45
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gatsibo CS,Health Center,2020-2021,30.0,30.0,100.0,diagnosis,46
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gatunda DH,"Hospital (DH,PH,RH)",2021-2022,0.0,30.0,0.0,diagnosis,47
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gihara CS,Health Center,2020-2021,30.0,30.0,100.0,diagnosis,48
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gihara CS,Health Center,2021-2022,30.0,30.0,100.0,diagnosis,49
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gikomero (Kabgayi) CS,Health Center,2021-2022,0.0,30.0,0.0,diagnosis,50
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gikonko (Gisagara) CS,Health Center,2020-2021,30.0,30.0,100.0,diagnosis,51
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gikonko (Gisagara) CS,Health Center,2021-2022,30.0,30.0,100.0,diagnosis,52
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gisenyi CS,Health Center,2022-2023,0.0,30.0,0.0,diagnosis,53
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gisenyi DH,"Hospital (DH,PH,RH)",2022-2023,30.0,30.0,100.0,diagnosis,54
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gishubi CS,Health Center,2021-2022,25.0,30.0,83.33333333333334,diagnosis,55
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gishubi CS,"Hospital (DH,PH,RH)",2020-2021,30.0,30.0,100.0,diagnosis,56
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gishweru CS,Health Center,2020-2021,0.0,30.0,0.0,diagnosis,57
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gishweru CS,Health Center,2021-2022,0.0,30.0,0.0,diagnosis,58
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gisovu CS,Health Center,2022-2023,30.0,60.0,50.0,diagnosis,59
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gitoki CS,Health Center,2020-2021,30.0,30.0,100.0,diagnosis,60
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gitoki CS,Health Center,2021-2022,30.0,30.0,100.0,diagnosis,61
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gitwe CS,Health Center,2020-2021,0.0,30.0,0.0,diagnosis,62
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gitwe CS,Health Center,2021-2022,30.0,30.0,100.0,diagnosis,63
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gitwe DH,"Hospital (DH,PH,RH)",2021-2022,30.0,30.0,100.0,diagnosis,64
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Gitwe DH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,65
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Huye Prison,"Hospital (DH,PH,RH)",2021-2022,30.0,30.0,100.0,diagnosis,66
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Islamic (Bugarama) CS,Health Center,2022-2023,0.0,30.0,0.0,diagnosis,67
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Juru CS,Health Center,2020-2021,0.0,30.0,0.0,diagnosis,68
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Juru CS,Health Center,2021-2022,30.0,30.0,100.0,diagnosis,69
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",KABGAYI DH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,70
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",KABUTARE DH,"Hospital (DH,PH,RH)",2023-2024,10.0,30.0,33.33333333333333,diagnosis,71
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",KADUHA DH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,72
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",KIBILIZI DH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,73
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",KIBOGORA DH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,74
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",KIBUYE RH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,75
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",KIGEME DH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,76
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",KINIHIRA PH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,77
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",KIREHE DH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,78
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",KIZIGURO dh,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,79
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Kabarondo (kayonza) CS,Health Center,2021-2022,30.0,30.0,100.0,diagnosis,80
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Kabarore CS,Health Center,2020-2021,30.0,30.0,100.0,diagnosis,81
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Kabarore CS,Health Center,2021-2022,23.0,30.0,76.66666666666667,diagnosis,82
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Kabgayi DH,"Hospital (DH,PH,RH)",2020-2021,30.0,30.0,100.0,diagnosis,83
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Kabgayi DH,"Hospital (DH,PH,RH)",2021-2022,30.0,30.0,100.0,diagnosis,84
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Kabutare DH,"Hospital (DH,PH,RH)",2020-2021,30.0,30.0,100.0,diagnosis,85
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Kabutare DH,"Hospital (DH,PH,RH)",2021-2022,30.0,30.0,100.0,diagnosis,86
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Kamonyi (gacurabwenge) CS,Health Center,2020-2021,30.0,30.0,100.0,diagnosis,87
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Kamonyi (gacurabwenge) CS,Health Center,2021-2022,0.0,30.0,0.0,diagnosis,88
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Kamonyi (ruharambuga) CS,Health Center,2022-2023,0.0,30.0,0.0,diagnosis,89
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Kamubuga CS,Health Center,2020-2021,0.0,30.0,0.0,diagnosis,90
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Karambo (gakenke) CS,Health Center,2020-2021,0.0,30.0,0.0,diagnosis,91
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Karengera CS,Health Center,2022-2023,20.0,30.0,66.66666666666666,diagnosis,92
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Kayenzi CS,Health Center,2020-2021,30.0,30.0,100.0,diagnosis,93
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Kayenzi CS,Health Center,2021-2022,30.0,30.0,100.0,diagnosis,94
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Kibayi CS,Health Center,2020-2021,30.0,30.0,100.0,diagnosis,95
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Kibayi CS,Health Center,2021-2022,30.0,30.0,100.0,diagnosis,96
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Kibilizi (gisagara) CS,Health Center,2020-2021,0.0,30.0,0.0,diagnosis,97
