summary_group,item_name,hf_type,num,den,avg_score
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]","Durant le trimestre passé, la FOSA a-t-il reçu au moins deux supervisions/mentorship par trimestre par le HD (pour le CS) ou au moins une fois le semestre  par le niveau central  (pour le HD) sur la gestion des malades TB ?","Hospital (DH,PH,RH)",82.0,106.0,77.35849056603774
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]",Enregistrement des cas de TB dans le systeme e-TB,Health Center,708.0,804.0,88.05970149253731
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]",Enregistrement des cas de TB dans le systeme e-TB,"Hospital (DH,PH,RH)",1013.0,1042.0,97.2168905950096
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]","Existe t-il  des versions actualisées du registre de laboratoire ( CDT/CT) 2023, registre des cas ( CDT /CT)  version 2023, registre de triage des tousseurs vesrion 2023 ,  Fiches de traitement 2022,   Bon de labo version 2022 , Registre du screening TB parmi le personnel existant",Health Center,153.0,250.0,61.199999999999996
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]","Existe t-il  des versions actualisées du registre de laboratoire ( CDT/CT) 2023, registre des cas ( CDT /CT)  version 2023, registre de triage des tousseurs vesrion 2023 ,  Fiches de traitement 2022,   Bon de labo version 2022 , Registre du screening TB parmi le personnel existant","Hospital (DH,PH,RH)",182.0,220.0,82.72727272727273
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]","Existe t-il  des versions actualisées du registre de laboratoire ( CDT/CT) 2023, registre des cas ( CDT /CT)  version 2023, registre de triage des tousseurs vesrion 2023 ,  Fiches de traitement 2022,  ? Bon de labo version 2022 , Registre du screening TB parmi le personnel existant",Health Center,36.0,45.0,80.0
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]","Existe t-il  des versions actualisées du registre de laboratoire ( CDT/CT) 2023, registre des cas ( CDT /CT)  version 2023, registre de triage des tousseurs vesrion 2023 ,  Fiches de traitement 2022,  ? Bon de labo version 2022 , Registre du screening TB parmi le personnel existant","Hospital (DH,PH,RH)",15.0,20.0,75.0
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]","Existe t-il  des versions actualisées du registre de laboratoire 2017, registre des cas 2017, registre screening staff 2015, Fiches de traitement 2017, samples tracking results register 2015 et sont  en cours d'utilisation? ",Health Center,813.0,855.0,95.08771929824562
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]","Existe t-il  des versions actualisées du registre de laboratoire 2017, registre des cas 2017, registre screening staff 2015, Fiches de traitement 2017, samples tracking results register 2015 et sont  en cours d'utilisation? ","Hospital (DH,PH,RH)",255.0,260.0,98.07692307692307
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]","Existe t-il  des versions actualisées du registre de laboratoire 2017, registre des cas 2020, registre screening staff , Fiches de traitement 2022, samples tracking results register 2015 et sont  en cours d'utilisation? Bon de labo version 2022 ",Health Center,60.0,65.0,92.3076923076923
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]","Existe t-il  des versions actualisées du registre de laboratoire 2017, registre des cas 2020, registre screening staff , Fiches de traitement 2022, samples tracking results register 2015 et sont  en cours d'utilisation? Bon de labo version 2022 ","Hospital (DH,PH,RH)",24.0,25.0,96.0
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]","Existe t-il  des versions actualisées du registre de laboratoire 2020, registre des cas 2020 registre screening staff 2015, Fiches de traitement 2020, samples tracking results register 2015 et sont  en cours d'utilisation? ",Health Center,5.0,5.0,100.0
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]","Existe t-il  des versions actualisées du registre de laboratoire 2020, registre des cas 2020, registre screening staff 2020, Fiches de traitement 2020, samples tracking results register 2015 et sont  en cours d'utilisation? ","Hospital (DH,PH,RH)",3.0,5.0,60.0
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]",La FOSA dispose-t-elle d'un plan de formations continues internes de son personnel sur la TB?,Health Center,102.0,244.0,41.80327868852459
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]",La FOSA dispose-t-elle d'un plan de formations continues internes de son personnel sur la TB?,"Hospital (DH,PH,RH)",66.0,106.0,62.264150943396224
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]",Le nombre de cas de TB ayant completé les résultat de traitement des malades dans e-TB il ya 6 mois,Health Center,653.0,796.0,82.03517587939699
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]",Le nombre de cas de TB ayant completé les résultat de traitement des malades dans e-TB il ya 6 mois,"Hospital (DH,PH,RH)",1012.0,1197.0,84.54469507101085
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]","Les prestataires des services ARV, Consultations externes, hospitalisations et de PEC de la TB,  ont -ils recu une formation sur la gestion de la TB et TB-HIV dans les 12 derniers mois?","Hospital (DH,PH,RH)",4.0,4.0,100.0
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]","Les prestataires des services ARV, Consultations externes, hospitalisations et de PEC de la TB,  ont -ils recu une formation sur la gestion de la TB et TB-HIV dans les 12 derniers mois? ",Health Center,554.0,980.0,56.53061224489796
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]","Les prestataires des services ARV, Consultations externes, hospitalisations et de PEC de la TB,  ont -ils recu une formation sur la gestion de la TB et TB-HIV dans les 12 derniers mois? ","Hospital (DH,PH,RH)",270.0,420.0,64.28571428571429
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]","Pour le trimestre passé, combien de rapports de supervisions mensuelles des encadreurs des agents de Santé communautaire du CS  vers les ASC sont disponibles  et archivés  incluant le rapport de sensibilsation ,depistage , et prise en charge des cas  , les patients presumés de TB ",Health Center,348.0,732.0,47.540983606557376
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]","Pour le trimestre passé, combien de rapports de supervisions mensuelles des encadreurs des agents de Santé communautaire du CS  vers les ASC sont disponibles  et archivés  incluant le rapport de sensibilsation ,depistage , et prise en charge des cas  , les patients presumés de TB ","Hospital (DH,PH,RH)",30.0,270.0,11.11111111111111
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]","Sur les 10 derniers patients présumés TB, combien ont une identification correcte: Numéros, date, nom, prénom, âge, sexe, adresse , ID et facteurs de risque TB et toute autre info necessaire selon les directives du TB M&E SOPs ?",Health Center,2057.0,2430.0,84.65020576131688
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]","Sur les 10 derniers patients présumés TB, combien ont une identification correcte: Numéros, date, nom, prénom, âge, sexe, adresse , ID et facteurs de risque TB et toute autre info necessaire selon les directives du TB M&E SOPs ?","Hospital (DH,PH,RH)",892.0,1050.0,84.95238095238096
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]","Sur les 10 derniers patients présumés TB, combien ont une identification correcte: Numéros, date, nom, prénom, âge, sexe, adresse , ID et facteurs de risque TB et toute autre info necessaire selon les directives du TB M&E SOPs ? LAB","Hospital (DH,PH,RH)",9.0,10.0,90.0
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]","Sur les 5 derniers malades TB enregistrés (toutes formes), combien ont une identification correcte (Numéros, date, nom, prénom, âge, sexe, adresse et toute autre info necessaireselon les directives du TB M&E SOPs) ?",Health Center,1024.0,1220.0,83.93442622950819
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]","Sur les 5 derniers malades TB enregistrés (toutes formes), combien ont une identification correcte (Numéros, date, nom, prénom, âge, sexe, adresse et toute autre info necessaireselon les directives du TB M&E SOPs) ?","Hospital (DH,PH,RH)",498.0,530.0,93.9622641509434
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]","Sur les 5 derniers patients TPB+, combien ont les bons de laboratoires de diagnostique microscopique et/ou par genexpert agraffés sur la fiche de traitement ?",Health Center,1037.0,1216.0,85.2796052631579
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]","Sur les 5 derniers patients TPB+, combien ont les bons de laboratoires de diagnostique microscopique et/ou par genexpert agraffés sur la fiche de traitement ?","Hospital (DH,PH,RH)",457.0,528.0,86.5530303030303
"Are TB patients early initiated on TB treatment and on ART (if indicated), and their bacteriological control performed according to guidelines?[Questions 16, 17, 18 and 19]","La FOSA (CDT ou CT) possede un bureau de ""one stop TB HIV service"" fonctionnel?",Health Center,205.0,244.0,84.01639344262296
"Are TB patients early initiated on TB treatment and on ART (if indicated), and their bacteriological control performed according to guidelines?[Questions 16, 17, 18 and 19]","La FOSA (CDT ou CT) possede un bureau de ""one stop TB HIV service"" fonctionnel?","Hospital (DH,PH,RH)",96.0,105.0,91.42857142857143
"Are TB patients early initiated on TB treatment and on ART (if indicated), and their bacteriological control performed according to guidelines?[Questions 16, 17, 18 and 19]","Sur les 5 derniers cas TB VIH+ sous anti-TB et enregistrés  le trimestre précédent, combien ont  ete mis  sous ARV endeans 8 semaines? ",Health Center,611.0,1095.0,55.79908675799087
"Are TB patients early initiated on TB treatment and on ART (if indicated), and their bacteriological control performed according to guidelines?[Questions 16, 17, 18 and 19]","Sur les 5 derniers cas TB VIH+ sous anti-TB et enregistrés  le trimestre précédent, combien ont  ete mis  sous ARV endeans 8 semaines? ","Hospital (DH,PH,RH)",370.0,490.0,75.51020408163265
"Are TB patients early initiated on TB treatment and on ART (if indicated), and their bacteriological control performed according to guidelines?[Questions 16, 17, 18 and 19]","Sur les 5 derniers cas TB sous anti-TB, combien ont initié le traitement TB au plus tard le lendemain du diagnostic TB ?",Health Center,948.0,1211.0,78.2824112303881
"Are TB patients early initiated on TB treatment and on ART (if indicated), and their bacteriological control performed according to guidelines?[Questions 16, 17, 18 and 19]","Sur les 5 derniers cas TB sous anti-TB, combien ont initié le traitement TB au plus tard le lendemain du diagnostic TB ?","Hospital (DH,PH,RH)",484.0,523.0,92.54302103250478
"Are TB patients early initiated on TB treatment and on ART (if indicated), and their bacteriological control performed according to guidelines?[Questions 16, 17, 18 and 19]","Sur les 5 derniers cas TB sous anti-TB, combien parmi eux le dosage concorde avec le poids?",Health Center,1057.0,1211.0,87.28323699421965
"Are TB patients early initiated on TB treatment and on ART (if indicated), and their bacteriological control performed according to guidelines?[Questions 16, 17, 18 and 19]","Sur les 5 derniers cas TB sous anti-TB, combien parmi eux le dosage concorde avec le poids?","Hospital (DH,PH,RH)",511.0,528.0,96.78030303030303
"Are TB patients early initiated on TB treatment and on ART (if indicated), and their bacteriological control performed according to guidelines?[Questions 16, 17, 18 and 19]","Sur les 5 derniers patients TPB+, combien ont tous les examens de contrôle bacilloscopique réalisés selon les normes du programme (fin de la phase intensive, au cours du 5 mois et a la fin du 5ieme mois , à la fin du traitement)?",Health Center,813.0,960.0,84.6875
"Are TB patients early initiated on TB treatment and on ART (if indicated), and their bacteriological control performed according to guidelines?[Questions 16, 17, 18 and 19]","Sur les 5 derniers patients TPB+, combien ont tous les examens de contrôle bacilloscopique réalisés selon les normes du programme (fin de la phase intensive, au cours du 5 mois et a la fin du 5ieme mois , à la fin du traitement)?","Hospital (DH,PH,RH)",377.0,427.0,88.2903981264637
"Are algorithms for TB screening, TB diagnosis and TB treatment available and displayed in health facilities?[Questions 1 and 10]","Les services VIH/ARV, Consultations externes, hospitalisations et de PEC de la TB disposent ils du manuel technique  de TB&ORD version 2020.",Health Center,247.0,280.0,88.21428571428571
"Are algorithms for TB screening, TB diagnosis and TB treatment available and displayed in health facilities?[Questions 1 and 10]","Les services VIH/ARV, Consultations externes, hospitalisations et de PEC de la TB disposent ils du manuel technique  de TB&ORD version 2020.","Hospital (DH,PH,RH)",189.0,204.0,92.64705882352942
"Are algorithms for TB screening, TB diagnosis and TB treatment available and displayed in health facilities?[Questions 1 and 10]","Les services VIH/ARV, Consultations externes, hospitalisations et de PEC de la TB disposent ils la boite des algorithmes de TB&ORD version 2017.",Health Center,689.0,804.0,85.69651741293532
"Are algorithms for TB screening, TB diagnosis and TB treatment available and displayed in health facilities?[Questions 1 and 10]","Les services VIH/ARV, Consultations externes, hospitalisations et de PEC de la TB disposent ils la boite des algorithmes de TB&ORD version 2017.","Hospital (DH,PH,RH)",265.0,268.0,98.88059701492537
"Are algorithms for TB screening, TB diagnosis and TB treatment available and displayed in health facilities?[Questions 1 and 10]","Les services VIH/ARV, Consultations externes, hospitalisations et de PEC de la TB disposent ils la boite des algorithmes de TB&ORD version 2022",Health Center,4.0,4.0,100.0
"Are algorithms for TB screening, TB diagnosis and TB treatment available and displayed in health facilities?[Questions 1 and 10]","Les services VIH/ARV, Consultations externes, hospitalisations et de PEC de la TB disposent ils la boite des algorithmes de TB&ORD version 2022.",Health Center,4.0,20.0,20.0
"Are algorithms for TB screening, TB diagnosis and TB treatment available and displayed in health facilities?[Questions 1 and 10]","Les services VIH/ARV, Consultations externes, hospitalisations et de PEC de la TB disposent ils la boite des algorithmes de TB&ORD version 2022..",Health Center,109.0,148.0,73.64864864864865
"Are algorithms for TB screening, TB diagnosis and TB treatment available and displayed in health facilities?[Questions 1 and 10]","Les services VIH/ARV, Consultations externes, hospitalisations et de PEC de la TB disposent ils la boite des algorithmes de TB&ORD version 2022..","Hospital (DH,PH,RH)",127.0,144.0,88.19444444444444
"Are algorithms for TB screening, TB diagnosis and TB treatment available and displayed in health facilities?[Questions 1 and 10]","Les services VIH/ARV, Consultations externes, hospitalisations et de PEC de la TB disposent ils la boite des algorithmes de TB&ORD version 2022..opd","Hospital (DH,PH,RH)",4.0,4.0,100.0
"Are algorithms for TB screening, TB diagnosis and TB treatment available and displayed in health facilities?[Questions 1 and 10]","Les services VIH/ARV, Consultations externes, hospitalisations et de PEC de la TB disposent ils la boite des algorithmes de TB&ORD version.","Hospital (DH,PH,RH)",4.0,4.0,100.0
"Are patients with multi drugs resistant TB (MDR-TB) in ambulatory phase controlled (microscopy and culture) for effectiveness of their treatment? [Questions New 46, new 47 and new 48]","1. Vérifier dans le registre TB-MR national le nombre total des malades TB-MR suivis dans la formation sanitaire évaluée;
2. Vérifier la présence des bons de laboratoire pour culture;
3. Vérifier le dossier médical TB-MR.
4. Considérer la date d'arrivée du patient dans la FOSA.",Health Center,24.0,56.0,42.857142857142854
"Are patients with multi drugs resistant TB (MDR-TB) in ambulatory phase controlled (microscopy and culture) for effectiveness of their treatment? [Questions New 46, new 47 and new 48]","1. Vérifier dans le registre TB-MR national le nombre total des malades TB-MR suivis dans la formation sanitaire évaluée;
2. Vérifier la présence des bons de laboratoire pour culture;
3. Vérifier le dossier médical TB-MR.
4. Considérer la date d'arrivée du patient dans la FOSA.","Hospital (DH,PH,RH)",39.0,66.0,59.09090909090909
"Are patients with multi drugs resistant TB (MDR-TB) in ambulatory phase controlled (microscopy and culture) for effectiveness of their treatment? [Questions New 46, new 47 and new 48]","1. Vérifier dans le registre TB-MR national le nombre total des malades TB-MR suivis dans la formation sanitaire évaluée;
2. Vérifier la présence des résultats de microscopie sur les bons de laboratoire;
3. Vérifier le dossier médical TB-MR;
4. Considérer la date d'arrivée du patient dans la FOSA.",Health Center,14.0,52.0,26.923076923076923
"Are patients with multi drugs resistant TB (MDR-TB) in ambulatory phase controlled (microscopy and culture) for effectiveness of their treatment? [Questions New 46, new 47 and new 48]","1. Vérifier dans le registre TB-MR national le nombre total des malades TB-MR suivis dans la formation sanitaire évaluée;
2. Vérifier la présence des résultats de microscopie sur les bons de laboratoire;
3. Vérifier le dossier médical TB-MR;
4. Considérer la date d'arrivée du patient dans la FOSA.","Hospital (DH,PH,RH)",41.0,71.0,57.74647887323944
"Are patients with multi drugs resistant TB (MDR-TB) in ambulatory phase controlled (microscopy and culture) for effectiveness of their treatment? [Questions New 46, new 47 and new 48]","1. Vérifier dans le registre TB-MR national le nombre total des malades TB-MR suivis dans la formation sanitaire évaluée;
2. Vérifier la présence des résultats sur les bons de laboratoire pour culture;
3. Vérifier le dossier médical TB-MR.",Health Center,3.0,29.0,10.344827586206897
"Are patients with multi drugs resistant TB (MDR-TB) in ambulatory phase controlled (microscopy and culture) for effectiveness of their treatment? [Questions New 46, new 47 and new 48]","1. Vérifier dans le registre TB-MR national le nombre total des malades TB-MR suivis dans la formation sanitaire évaluée;
2. Vérifier la présence des résultats sur les bons de laboratoire pour culture;
3. Vérifier le dossier médical TB-MR.","Hospital (DH,PH,RH)",27.0,53.0,50.943396226415096
"Are rooms where TB services are provided well ventilated and Health workers personal protection existing and used? [Questions 33, 34, 35, 36 and 37]",Existe t-il un ventilateur d'extraction fonctionnel ?/ Is there an extractor fan function?,Health Center,43.0,243.0,17.695473251028808
"Are rooms where TB services are provided well ventilated and Health workers personal protection existing and used? [Questions 33, 34, 35, 36 and 37]",Existe t-il un ventilateur d'extraction fonctionnel ?/ Is there an extractor fan function?,"Hospital (DH,PH,RH)",52.0,106.0,49.056603773584904
"Are rooms where TB services are provided well ventilated and Health workers personal protection existing and used? [Questions 33, 34, 35, 36 and 37]",Le personnel a ete formé sur le port correct de masques respirateurs?(verifier en lui demandant de porter/ Staff have been trained on proper fit of respirators?(check by asking her to wear).,Health Center,210.0,242.0,86.77685950413223
"Are rooms where TB services are provided well ventilated and Health workers personal protection existing and used? [Questions 33, 34, 35, 36 and 37]",Le personnel a ete formé sur le port correct de masques respirateurs?(verifier en lui demandant de porter/ Staff have been trained on proper fit of respirators?(check by asking her to wear).,"Hospital (DH,PH,RH)",100.0,105.0,95.23809523809523
"Are rooms where TB services are provided well ventilated and Health workers personal protection existing and used? [Questions 33, 34, 35, 36 and 37]",Les masques respirateurs sont disponible pour le staff (Labo et prise en charge TB) / Respirators masks are readily available for staff.,Health Center,202.0,243.0,83.1275720164609
"Are rooms where TB services are provided well ventilated and Health workers personal protection existing and used? [Questions 33, 34, 35, 36 and 37]",Les masques respirateurs sont disponible pour le staff (Labo et prise en charge TB) / Respirators masks are readily available for staff.,"Hospital (DH,PH,RH)",98.0,106.0,92.45283018867924
"Are rooms where TB services are provided well ventilated and Health workers personal protection existing and used? [Questions 33, 34, 35, 36 and 37]",Les posters  pour garder les portes et les fenêtres ouvertes lorsque cela est possible sonten place/Signage is in place to keep doors and windows open when feasible.,Health Center,209.0,246.0,84.95934959349594
"Are rooms where TB services are provided well ventilated and Health workers personal protection existing and used? [Questions 33, 34, 35, 36 and 37]",Les posters  pour garder les portes et les fenêtres ouvertes lorsque cela est possible sonten place/Signage is in place to keep doors and windows open when feasible.,"Hospital (DH,PH,RH)",98.0,106.0,92.45283018867924
"Are rooms where TB services are provided well ventilated and Health workers personal protection existing and used? [Questions 33, 34, 35, 36 and 37]",Les salles dattente sont dans un espace aéré ou suffisamment ventilé/ Waiting rooms are in a ventilated space or sufficient ventilation,Health Center,222.0,243.0,91.35802469135803
"Are rooms where TB services are provided well ventilated and Health workers personal protection existing and used? [Questions 33, 34, 35, 36 and 37]",Les salles dattente sont dans un espace aéré ou suffisamment ventilé/ Waiting rooms are in a ventilated space or sufficient ventilation,"Hospital (DH,PH,RH)",99.0,105.0,94.28571428571428
"Are stocks of TB drugs and reagents well monitored? [Questions 13, 14 and 15]","Chaque médicament anti-TB de 1ère ligne a sa  fiche de stock complètement et correctement rempli, incluant le nom du produit, dosage, forme,  numéro de lot, date dexpiration,  les transactions sont mentionnées à leur date denregistrement, le stock maximum, minimum et le point de commande durgence, la consommation mensuelle, le nombre de mois de stock. [Pour le CDTvérifier tous les médicaments: RHZE, RH adult,  RHZ,et E, RH enfant, Tuberculin]",Health Center,190.0,242.0,78.51239669421489
"Are stocks of TB drugs and reagents well monitored? [Questions 13, 14 and 15]","Chaque médicament anti-TB de 1ère ligne a sa  fiche de stock complètement et correctement rempli, incluant le nom du produit, dosage, forme,  numéro de lot, date dexpiration,  les transactions sont mentionnées à leur date denregistrement, le stock maximum, minimum et le point de commande durgence, la consommation mensuelle, le nombre de mois de stock. [Pour le CDTvérifier tous les médicaments: RHZE, RH adult,  RHZ,et E, RH enfant, Tuberculin]","Hospital (DH,PH,RH)",90.0,105.0,85.71428571428571
